#{"t_start": 1716882182.4784832, "env_id": "Sprites-v0"}
r,l,t
21.169159,40,0.997769
32.555368,40,8.547671
31.233572,40,9.618628
24.085794,40,10.684356
22.07499,40,11.754176
19.40253,40,12.832129
28.37372,40,13.885039
26.079779,40,14.952092
29.327427,40,16.006903
29.86078,40,17.082297
29.220895,40,18.17674
30.325665,40,19.272445
30.663174,40,20.348527
26.554358,40,21.433705
20.353236,40,22.443691
27.959589,40,23.512065
28.369204,40,24.626313
27.8923,40,25.706153
31.674822,40,26.737684
31.216518,40,27.907183
27.44435,40,29.015285
29.46173,40,30.101226
30.633256,40,31.18894
34.643002,40,32.272474
22.457611,40,33.347827
27.481492,40,34.444902
26.901387,40,35.524219
22.400865,40,36.623537
30.465988,40,37.743169
31.133565,40,38.827665
30.002316,40,39.910515
24.16546,40,40.941402
30.999653,40,41.96976
27.022908,40,43.035668
26.484516,40,44.10535
29.966743,40,45.182255
23.478034,40,46.244392
27.722926,40,47.316105
27.360333,40,48.383855
29.385471,40,49.456719
27.973124,40,50.526011
25.606327,40,51.590175
30.447742,40,52.605736
30.767444,40,53.670017
29.652928,40,54.675084
32.399973,40,55.73696
27.922929,40,56.80032
27.259599,40,57.838759
30.049401,40,58.901607
33.742206,40,59.988134
29.6867,40,61.146774
27.841126,40,62.295987
28.157234,40,63.413846
25.756575,40,64.621077
23.146981,40,65.711097
24.689648,40,66.783156
29.138893,40,67.8571
29.35248,40,68.962897
26.403017,40,70.038943
33.365204,40,71.138785
25.758913,40,72.219137
28.971825,40,73.312326
23.585544,40,74.371594
26.262113,40,75.43728
24.795866,40,76.505247
27.547501,40,77.584203
30.136953,40,78.669365
34.479127,40,79.82867
31.187548,40,80.958972
23.379786,40,82.093075
27.285462,40,83.231301
28.08513,40,84.348207
29.362092,40,85.415461
23.522672,40,86.539044
30.493881,40,87.799133
26.037278,40,88.926657
28.226831,40,90.052179
34.745397,40,91.13174
24.704802,40,92.201016
25.530993,40,93.289567
27.483734,40,94.358513
22.071607,40,95.424541
29.930261,40,96.498539
27.201422,40,97.569393
28.759803,40,98.642637
21.974005,40,99.724488
24.039037,40,100.760701
32.605688,40,101.84178
32.832962,40,103.030336
32.143652,40,104.215704
28.122179,40,105.307409
26.76858,40,106.389628
29.776107,40,107.454181
19.166722,40,108.548435
26.255293,40,109.631504
29.112542,40,110.74382
28.969217,40,111.867978
29.454213,40,113.016333
29.188808,40,114.196044
27.169782,40,115.291406
28.661655,40,116.485131
31.91307,40,123.863636
29.33407,40,125.007547
27.727741,40,126.107531
26.667759,40,127.21024
27.125171,40,128.348142
33.945457,40,129.457454
25.199734,40,130.624556
26.802971,40,131.738981
33.151933,40,132.930792
28.171892,40,133.994734
19.589802,40,135.122263
28.877465,40,136.294821
27.001481,40,137.427438
30.87156,40,138.542889
29.308631,40,139.687864
28.522998,40,140.836773
28.122134,40,142.015909
27.54019,40,143.176561
28.436221,40,144.271576
34.079917,40,145.387371
29.164221,40,146.487402
28.510016,40,147.591063
28.449685,40,148.666153
25.995386,40,149.761094
27.331904,40,150.842454
30.478241,40,151.943983
29.922745,40,153.046041
24.855921,40,154.125662
30.306509,40,155.220573
29.745618,40,156.335248
25.607505,40,157.409479
30.057372,40,158.517315
28.466,40,159.658981
27.993431,40,160.703694
27.155184,40,161.769776
27.420868,40,162.843099
30.615819,40,163.914781
31.936847,40,164.994528
27.934983,40,166.109926
25.114888,40,167.183798
28.439926,40,168.255392
31.855207,40,169.321833
24.717665,40,170.402508
20.572686,40,171.473859
23.82395,40,172.550966
26.282165,40,173.67851
28.972573,40,174.891057
29.568905,40,176.050289
27.266024,40,177.175349
28.737143,40,178.461938
28.173284,40,179.623814
29.353426,40,180.759649
28.275581,40,181.841072
34.237054,40,182.977047
25.220565,40,184.093741
27.114554,40,185.193515
30.169924,40,186.265919
30.616605,40,187.39235
28.921016,40,188.546975
26.0461,40,189.654797
28.538184,40,190.823214
26.079385,40,191.975276
26.892269,40,193.066338
35.134978,40,194.165228
27.103576,40,195.288302
34.865532,40,196.402679
26.539,40,197.508761
22.088588,40,198.69293
32.375433,40,199.869041
26.662132,40,200.948545
29.474575,40,201.965757
26.176838,40,203.044333
34.104115,40,204.109902
29.709293,40,205.203788
34.131911,40,206.291779
28.303645,40,207.413692
25.913856,40,208.531142
28.124699,40,209.632572
27.368423,40,210.795571
24.522014,40,211.924391
33.686658,40,213.095031
28.139177,40,214.301169
34.331869,40,215.413939
35.80004,40,216.528901
27.457749,40,217.663164
33.127499,40,218.722306
31.578053,40,219.842056
30.159417,40,220.918024
27.963851,40,221.997209
21.031579,40,223.100927
29.081693,40,224.207362
27.033807,40,225.283627
33.660778,40,226.330928
29.977073,40,227.374237
26.201126,40,228.443369
28.530497,40,229.520128
19.216812,40,230.591299
27.789008,40,231.656346
27.049175,40,232.725774
30.397963,40,233.789387
29.474731,40,241.27562
31.368748,40,242.350282
33.047014,40,243.414236
27.502642,40,244.456826
32.761573,40,245.532074
27.653158,40,246.586812
28.965488,40,247.651008
29.774821,40,248.719514
27.992265,40,249.842065
22.824677,40,250.966555
25.498935,40,252.09711
32.404371,40,253.26422
25.982802,40,254.510756
32.092763,40,255.622948
30.138658,40,256.696935
22.027123,40,257.808879
26.209197,40,258.933864
28.572943,40,260.03728
32.035079,40,261.062279
27.19806,40,262.163497
27.930099,40,263.242493
28.84999,40,264.317534
24.729669,40,265.385038
30.25501,40,266.478868
28.140308,40,267.582641
30.50424,40,268.663765
19.791563,40,269.797687
29.619828,40,270.882292
26.764783,40,271.960324
25.864952,40,273.002712
25.920807,40,274.076572
32.434564,40,275.147273
28.539328,40,276.245365
27.174023,40,277.349262
27.844329,40,278.445876
23.061781,40,279.635557
28.733027,40,280.956081
29.524968,40,282.180993
26.648489,40,283.419517
31.139276,40,284.521518
24.342978,40,285.658326
27.625553,40,286.80765
27.683414,40,287.970818
29.796781,40,289.106856
26.008037,40,290.210478
30.309069,40,291.279621
27.922566,40,292.350897
31.525216,40,293.474133
28.641837,40,294.53725
28.793024,40,295.601936
31.210456,40,296.662656
31.164009,40,297.67534
22.284893,40,298.769859
28.541648,40,299.889118
23.745248,40,300.933057
32.76313,40,302.047019
28.581256,40,303.198168
31.783174,40,304.38432
29.638843,40,305.494855
27.799527,40,306.594834
26.072436,40,307.663859
26.715567,40,308.777305
27.381047,40,309.92393
23.783317,40,310.990413
29.911394,40,312.10629
28.515572,40,313.208366
24.397644,40,314.291366
26.804394,40,315.357145
28.913373,40,316.435732
27.1333,40,317.553932
31.108447,40,318.682736
30.30552,40,319.821823
28.520378,40,320.951361
23.006204,40,322.101712
29.460869,40,323.156422
29.052895,40,324.277649
24.883279,40,325.358842
31.501182,40,326.521214
26.253749,40,327.695017
31.123875,40,328.939514
30.370054,40,330.106181
28.737129,40,331.233564
31.584179,40,332.40373
28.680732,40,333.543456
32.772014,40,334.646926
27.414225,40,335.73597
21.829489,40,336.818423
24.402513,40,337.910828
31.105131,40,339.005863
25.906554,40,340.133214
26.990123,40,341.263564
31.823995,40,342.324561
31.396845,40,343.431741
29.584855,40,344.530553
29.02355,40,345.643741
27.366145,40,346.783271
20.87609,40,347.899205
30.02686,40,349.00252
28.661107,40,350.116467
28.876132,40,351.244713
28.258694,40,358.790138
19.777434,40,359.894043
26.333212,40,360.935106
28.941401,40,361.972035
29.648936,40,363.117932
25.121673,40,364.252535
26.300518,40,365.349432
34.845442,40,366.465181
35.685503,40,367.607846
29.428683,40,368.729035
30.952686,40,369.790783
20.710778,40,370.901525
25.430147,40,372.077947
30.837674,40,373.184175
26.793941,40,374.263104
23.40179,40,375.360881
25.579397,40,376.435537
27.527269,40,377.552154
28.991419,40,378.676093
28.757258,40,379.812383
23.721305,40,380.951695
26.213468,40,382.042594
30.236567,40,383.152937
31.802003,40,384.223818
30.789887,40,385.300672
29.562911,40,386.378855
30.113383,40,387.491585
22.501144,40,388.587288
30.642282,40,389.776431
27.031231,40,390.909794
31.070643,40,392.032215
29.166283,40,393.204877
22.999867,40,394.253217
27.800067,40,395.42072
28.192871,40,396.567453
25.352481,40,397.705471
28.665919,40,398.803965
28.968991,40,399.898589
26.400577,40,400.937742
28.196453,40,402.004653
28.498566,40,403.061055
28.815049,40,404.112476
26.407176,40,405.188997
28.039661,40,406.267152
20.903773,40,407.348826
34.76375,40,408.443687
27.990339,40,409.56789
31.870067,40,410.71484
26.167812,40,411.843216
29.754473,40,412.977792
27.224577,40,414.118335
33.092654,40,415.227988
25.704198,40,416.319273
33.348064,40,417.423656
26.234508,40,418.517639
26.199254,40,419.613544
25.855367,40,420.685808
28.257283,40,421.791531
29.357503,40,422.909213
27.525472,40,424.03158
32.071497,40,425.123528
30.359075,40,426.299906
27.398344,40,427.400146
23.496716,40,428.518991
25.450577,40,429.638988
27.355385,40,430.75437
24.093886,40,431.849949
29.326529,40,432.941191
30.308628,40,434.052446
26.493219,40,435.132859
25.838012,40,436.175791
25.658577,40,437.22178
28.877677,40,438.3789
30.197889,40,439.496096
25.749365,40,440.619032
30.559952,40,441.718741
26.691323,40,442.849358
22.259297,40,443.958938
27.64,40,445.006621
26.266532,40,446.066587
28.060267,40,447.135603
21.964845,40,448.23712
29.146958,40,449.315801
22.685215,40,450.407249
28.130065,40,451.468339
27.077936,40,452.575848
23.075276,40,453.747501
30.759354,40,454.849641
29.083075,40,455.961757
26.696209,40,457.152655
27.793553,40,458.354112
29.363171,40,459.505991
29.367748,40,460.57224
30.170145,40,461.673818
20.492073,40,462.740997
27.004353,40,463.842047
26.856593,40,464.958684
29.814951,40,466.075614
31.098947,40,467.175719
29.801058,40,468.247438
25.434846,40,475.694234
29.566261,40,476.747347
27.353537,40,477.847615
23.137498,40,478.990981
24.354542,40,480.184355
26.711807,40,481.250218
27.338523,40,482.334241
33.246793,40,483.401585
26.891517,40,484.497204
30.599814,40,485.573681
30.040907,40,486.615365
27.88471,40,487.682139
26.189707,40,488.777855
26.009292,40,489.883102
29.282469,40,490.985008
20.934325,40,492.061521
31.407363,40,493.115693
19.389958,40,494.202789
31.699746,40,495.289063
30.865685,40,496.376726
33.038515,40,497.437269
29.225467,40,498.512221
25.370126,40,499.580961
24.153498,40,500.657185
26.606581,40,501.766237
26.489974,40,502.90164
31.4657,40,503.931257
26.40791,40,504.936141
27.804235,40,505.947393
28.336777,40,507.038169
26.952024,40,508.217339
30.535733,40,509.35391
26.638165,40,510.463457
26.448208,40,511.572668
24.927774,40,512.677153
26.932647,40,513.819866
21.574478,40,514.948587
32.321519,40,516.052155
26.681071,40,517.147346
31.531646,40,518.24896
27.477709,40,519.356312
25.131139,40,520.480619
29.677854,40,521.582934
23.922157,40,522.658438
28.09111,40,523.73136
29.196707,40,524.818146
24.291405,40,526.001998
29.620324,40,527.185577
26.98402,40,528.357074
22.002642,40,529.530787
26.413157,40,530.679293
22.030306,40,531.797647
35.237825,40,532.933795
31.414423,40,534.079863
28.451832,40,535.189695
33.457029,40,536.298924
33.669325,40,537.400657
25.877581,40,538.641532
25.562222,40,539.772235
29.023233,40,540.863976
27.626476,40,541.992103
27.155234,40,543.09598
32.362769,40,544.223608
27.276722,40,545.281669
27.337098,40,546.474897
26.644919,40,547.749269
24.877669,40,548.992181
31.529403,40,550.234525
19.992056,40,551.39161
30.79377,40,552.48104
27.589766,40,553.585618
29.243858,40,554.775281
24.932742,40,555.9034
27.723969,40,557.006612
25.423155,40,558.183996
27.103646,40,559.335654
22.68317,40,560.440378
26.822761,40,561.527567
33.946809,40,562.589588
29.401593,40,563.659314
29.069166,40,564.742917
23.504676,40,565.819386
27.144267,40,566.887817
24.165248,40,567.956686
25.7034,40,569.017642
24.902875,40,570.109125
26.384536,40,571.183022
24.728248,40,572.247916
29.540941,40,573.318539
27.548825,40,574.387219
28.300142,40,575.460161
28.73658,40,576.543997
33.017636,40,577.598966
27.21953,40,578.670367
23.9413,40,579.789511
27.510088,40,580.864768
23.601348,40,581.935792
27.447071,40,583.018587
28.707424,40,584.10848
23.103564,40,585.207096
27.90427,40,592.513387
28.890268,40,593.658798
34.892843,40,594.77248
29.328371,40,595.852078
26.739668,40,596.997441
27.484543,40,598.122375
30.269847,40,599.276532
25.522445,40,600.430289
32.3759,40,601.523666
25.07543,40,602.643113
26.162966,40,603.731757
27.455935,40,604.878933
25.671239,40,606.14447
28.373084,40,607.352837
24.885926,40,608.529866
24.04206,40,609.776004
30.14322,40,610.998895
24.566271,40,612.15832
27.677701,40,613.400251
27.30975,40,614.572129
28.578593,40,615.622068
30.766803,40,616.75039
30.933839,40,617.869222
26.372657,40,619.031631
29.033771,40,620.350795
21.724315,40,621.519579
30.129056,40,622.699444
29.097024,40,623.834852
26.202392,40,624.966457
27.01773,40,626.088011
30.949418,40,627.1974
23.445073,40,628.32936
25.251739,40,629.529939
32.844923,40,630.669235
30.224044,40,631.93003
23.866638,40,633.097856
27.910386,40,634.221147
26.960586,40,635.315319
25.056327,40,636.453246
30.522507,40,637.639849
33.943469,40,638.835754
21.64437,40,639.987756
30.991152,40,641.1231
27.755424,40,642.257316
31.767559,40,643.499501
24.140764,40,644.670042
25.740647,40,645.876448
28.386228,40,646.98178
20.194029,40,648.122668
27.545175,40,649.171991
31.381364,40,650.328578
32.044003,40,651.44967
30.730531,40,652.564025
22.862224,40,653.670496
32.792342,40,654.781115
23.94089,40,655.963958
26.123202,40,657.145533
25.232631,40,658.250178
29.111123,40,659.406571
28.527862,40,660.569914
24.56864,40,661.731045
28.109669,40,662.760635
26.543503,40,663.835135
24.569653,40,664.945201
27.704217,40,666.028788
27.575862,40,667.119014
27.809308,40,668.205393
25.851248,40,669.396696
29.335098,40,670.5595
29.157616,40,671.683333
27.086858,40,672.799152
24.976542,40,673.906123
23.742214,40,674.980879
