#{"t_start": 1716815525.8195457, "env_id": "Sprites-v2"}
r,l,t
31.31482,40,1.204981
26.657457,40,1.398256
27.346664,40,1.59377
27.839377,40,1.784703
33.126545,40,2.042841
25.268212,40,12.18072
23.110741,40,12.418504
28.259548,40,12.6642
30.958319,40,12.888029
30.451518,40,13.208664
31.257615,40,15.033415
23.125277,40,15.377906
22.472398,40,15.736872
30.047565,40,16.088911
24.167023,40,16.453428
33.677881,40,18.420633
28.213569,40,18.783924
22.088617,40,19.147157
32.229138,40,19.516498
25.582158,40,19.880633
33.280929,40,21.636318
29.996632,40,21.996915
23.920798,40,22.362641
31.028453,40,22.733531
24.257762,40,23.112365
29.766013,40,24.859166
28.225253,40,25.226151
31.82106,40,25.586634
28.829966,40,25.944624
29.948247,40,26.312188
22.642661,40,28.039508
25.117848,40,28.406718
34.316496,40,28.779256
27.856717,40,29.144385
28.697438,40,29.521851
29.355436,40,31.285435
25.574203,40,31.675126
34.071827,40,32.035498
26.359291,40,32.393855
22.776464,40,32.757994
33.462496,40,34.606793
25.686094,40,34.970159
31.219897,40,35.327407
32.447939,40,35.692201
29.427706,40,36.054285
31.651746,40,37.770869
27.986526,40,37.921291
31.374505,40,38.084378
20.455066,40,38.226534
26.161627,40,38.369633
28.872731,40,39.581271
26.730837,40,39.720235
25.027126,40,39.856528
26.617785,40,39.988671
30.945454,40,40.12104
30.78223,40,41.269576
31.778239,40,41.401443
27.904296,40,41.535911
28.271164,40,41.675608
28.770461,40,41.794374
23.51814,40,43.274045
27.210019,40,43.466234
29.419484,40,43.662154
27.748586,40,43.855342
27.750407,40,44.047637
33.718986,40,45.723321
33.087897,40,45.925604
28.662122,40,46.123782
31.545158,40,46.316539
32.212662,40,46.518472
31.430617,40,48.275314
29.874172,40,48.490897
31.231554,40,48.684283
28.18163,40,48.878963
30.16271,40,49.072981
23.387454,40,50.828181
26.519652,40,51.047725
29.072129,40,51.240037
28.431496,40,51.43674
25.179425,40,51.629071
25.993855,40,53.365271
27.378086,40,53.600088
26.987007,40,53.792058
28.307153,40,53.985151
21.956411,40,54.179233
25.628553,40,55.935755
30.364988,40,56.199005
24.441812,40,56.398264
27.725925,40,56.605319
34.074514,40,56.807943
26.761644,40,58.583988
28.802006,40,58.865133
27.01401,40,59.063668
21.173039,40,59.256813
23.08258,40,59.447784
26.470069,40,61.215267
28.81914,40,61.482948
28.011347,40,61.684176
29.470894,40,61.883219
27.998664,40,62.082946
23.773738,40,63.867219
25.565398,40,64.131133
27.607122,40,64.330034
31.286064,40,64.528104
31.130439,40,64.723556
21.345879,40,70.751167
29.403876,40,71.033201
28.519568,40,71.394075
22.921965,40,71.778503
31.404594,40,72.140803
24.864435,40,73.808669
32.001921,40,74.087816
25.910511,40,74.446067
32.21795,40,74.805921
30.36746,40,75.161921
26.78991,40,76.904557
32.963517,40,77.184483
32.756538,40,77.547476
22.20665,40,77.910105
25.959747,40,78.275842
33.076277,40,79.943142
28.764379,40,80.212149
20.362285,40,80.572311
26.734955,40,80.914295
31.266172,40,81.283979
30.657369,40,82.946575
28.857369,40,83.177278
34.141865,40,83.538659
29.98827,40,83.89747
27.105395,40,84.262738
30.912945,40,85.915845
28.427625,40,86.130666
30.978197,40,86.493814
26.935179,40,86.85378
28.93868,40,87.208974
27.240548,40,88.895318
26.875656,40,89.104396
24.526077,40,89.469414
28.212499,40,89.833797
26.148823,40,90.188732
26.019573,40,91.857373
30.792879,40,92.054248
24.422318,40,92.420355
27.755012,40,92.778631
26.391845,40,93.140427
22.491786,40,94.785696
28.171819,40,94.985961
25.578781,40,95.142636
26.461203,40,95.286065
27.924341,40,95.414399
30.254051,40,96.558576
31.715256,40,96.688119
28.488115,40,96.812381
28.961629,40,96.941429
27.771607,40,97.071116
24.416635,40,98.201999
26.04721,40,98.334874
33.788085,40,98.470588
31.201986,40,98.602485
29.826718,40,98.741263
15.86205,40,100.151391
29.966708,40,100.494723
28.530025,40,100.755993
31.750181,40,100.999511
27.958446,40,101.199037
29.012582,40,103.055601
35.852903,40,103.422938
27.814184,40,103.704768
29.334345,40,104.060396
30.726948,40,104.353331
32.244426,40,106.217731
24.953082,40,106.579654
25.665475,40,106.939848
27.885154,40,107.308808
29.218881,40,107.636032
33.506847,40,109.517889
25.19089,40,109.88238
26.882414,40,110.24747
28.22499,40,110.607572
25.459458,40,110.929026
24.254977,40,112.798292
30.709704,40,113.180894
25.725971,40,113.572043
29.224626,40,113.931978
30.501812,40,114.244966
31.744423,40,116.09825
35.213642,40,116.460836
32.253266,40,116.826039
32.591168,40,117.189838
30.441855,40,117.474545
27.10744,40,119.333297
29.486475,40,119.694718
28.438256,40,120.05866
28.25524,40,120.429062
27.623408,40,120.737013
30.016877,40,122.594519
