Update,Num Timesteps,FPS,Mean Reward,Median Reward,Min Reward,Max Reward,Dist Entropy,Value Loss,Action Loss
0,3200,1835,27.9583989,27.7912075,23.98337,33.252186,2.8409622740000486,31.735820323228836,-0.002245837997406852
1,6400,586,29.3426079,29.0025195,23.85696,33.928184,2.8409279352054,30.268254905939102,-0.005813604184254473
2,9600,781,28.252810900000004,28.723212,23.138031,32.821823,2.842661333270371,29.596630424261093,-0.01765742464590403
3,12800,939,28.864431200000002,28.8780945,26.04725,32.850781,2.8396886391565204,29.481220856308937,-0.020762628565535124
4,16000,1070,26.3442297,25.809203,19.476865,35.279403,2.837877035140991,26.64095465838909,-0.027069017560279462
5,19200,1180,29.175791600000004,29.58627,23.076689,35.0797,2.837877035140991,28.760238260030746,-0.030873749657075678
6,22400,1266,26.5673024,26.493279,20.921142,32.111237,2.837877035140991,27.06447460502386,-0.029336022876009338
7,25600,1340,28.828286199999997,28.632787999999998,23.545502,33.839679,2.837877035140991,26.943996377289295,-0.03331191120287258
8,28800,1408,29.4979722,30.644228499999997,21.14929,35.262842,2.837877035140991,25.889430440962315,-0.030546778347513737
9,32000,1461,28.222639300000004,27.5509355,24.329534,35.102207,2.837877035140991,24.799732573330402,-0.030169470266400822
10,35200,1513,29.489466099999998,28.9583985,27.38963,32.796015,2.837877035140991,24.25034637749195,-0.03249211305183053
11,38400,1556,26.7863452,26.956681,20.503452,31.237599,2.837877035140991,22.78768626600504,-0.036120104242399975
12,41600,1591,29.353410599999997,29.4510475,23.625493,35.504729,2.837877035140991,23.097710594534874,-0.03465031436530808
13,44800,1623,28.831339200000002,30.409202,18.473491,31.442703,2.837877035140991,23.820965714752674,-0.03634403864657543
14,48000,1650,27.8484108,28.066792,23.246444,33.761663,2.837877035140991,21.1916859485209,-0.03290632280322825
15,51200,1677,29.059943300000004,29.4615965,22.480928,34.801997,2.837877035140991,22.510735481977463,-0.03167445193321328
16,54400,1702,29.857106200000004,30.2804155,23.78012,35.298959,2.837877035140991,21.452503569424152,-0.03559116248220562
