#{"t_start": 1716865834.512157, "env_id": "Sprites-v2"}
r,l,t
27.47188,40,2.197662
24.04445,40,2.882798
27.308558,40,3.169866
27.959591,40,3.478542
34.364648,40,3.763056
28.719385,40,25.495355
29.213863,40,25.762918
31.567041,40,26.035507
24.167955,40,26.314384
27.681529,40,26.567645
31.21809,40,34.736939
22.256693,40,35.060693
32.421751,40,35.335017
27.412059,40,35.643359
24.447464,40,35.912953
32.374104,40,44.162685
24.633192,40,44.429697
28.148495,40,44.68599
31.309542,40,44.982632
20.394057,40,45.241316
21.092714,40,53.238678
23.103396,40,53.477342
33.056808,40,53.715548
26.353138,40,53.949747
32.570049,40,54.184914
24.962678,40,62.070979
37.84571,40,62.35434
27.662358,40,62.608858
19.814621,40,62.890772
28.43654,40,63.150264
33.422901,40,71.041352
32.940242,40,71.431279
29.911295,40,71.76801
28.542086,40,72.158387
28.592628,40,72.447314
