#{"t_start": 1716122785.0435107, "env_id": "Sprites-v0"}
r,l,t
25.413527,40,1.036224
25.56275,40,1.141278
33.459419,40,1.244085
25.796468,40,1.351045
32.758902,40,1.456078
28.711459,40,10.371123
25.729923,40,10.478398
30.607765,40,10.583233
29.645628,40,10.700755
26.457844,40,10.800919
25.61875,40,11.783423
30.871564,40,11.929172
30.743596,40,12.020331
27.622888,40,12.112129
23.969353,40,12.203665
27.211288,40,13.151858
24.454488,40,13.249697
31.160497,40,13.352809
24.730155,40,13.450933
26.656018,40,13.549655
21.31103,40,14.484603
25.451833,40,14.584007
31.748515,40,14.683219
25.363601,40,14.783348
22.876723,40,14.881351
20.353586,40,15.787184
30.358153,40,15.88876
23.850235,40,15.986246
28.233512,40,16.082013
30.7712,40,16.174217
35.224087,40,17.129915
25.467945,40,17.23674
29.281245,40,17.347923
27.694595,40,17.463687
25.026143,40,17.570339
32.799882,40,18.538156
22.017406,40,18.64468
27.07112,40,18.758756
26.189932,40,18.866426
27.064734,40,18.974756
27.923674,40,19.953768
28.740643,40,20.055766
28.506632,40,20.154835
24.30253,40,20.249463
33.035903,40,20.347828
28.858589,40,21.314363
26.715901,40,21.423856
31.168341,40,21.531238
25.902689,40,21.62557
28.924878,40,21.746393
27.175898,40,22.760244
31.36327,40,22.859679
32.28709,40,22.965222
28.55343,40,23.067546
28.258828,40,23.164647
27.006733,40,24.133396
26.057795,40,24.227554
25.165755,40,24.344464
28.467231,40,24.447952
22.212426,40,24.558668
29.754187,40,25.545691
31.050832,40,25.64186
27.679841,40,25.752095
27.054199,40,25.853072
32.077321,40,25.950288
29.425377,40,26.994594
31.00586,40,27.099515
29.44304,40,27.210217
27.531463,40,27.332972
29.989657,40,27.442866
22.199377,40,28.511504
29.899126,40,28.617242
25.735497,40,28.732158
23.011318,40,28.839023
26.995022,40,28.946151
26.390925,40,29.952676
33.248056,40,30.05613
25.02441,40,30.15813
29.977534,40,30.270361
27.946795,40,30.372782
28.966758,40,31.392762
32.010127,40,31.510312
20.600528,40,31.618517
29.545926,40,31.728524
30.813663,40,31.83141
32.770006,40,32.809476
26.097471,40,32.924839
26.914673,40,33.038545
26.056749,40,33.153733
29.251834,40,33.25958
24.705281,40,34.292238
31.899752,40,34.404867
30.267107,40,34.503196
24.290166,40,34.600217
26.970718,40,34.707488
35.330794,40,35.716862
23.492724,40,35.814704
24.295832,40,35.91309
24.717409,40,36.008873
21.800532,40,36.105129
27.458372,40,37.05119
26.607869,40,37.158985
32.248949,40,37.261453
28.49038,40,37.353528
29.458486,40,37.447772
25.408653,40,42.71146
26.125504,40,42.806229
28.93582,40,42.907165
25.139679,40,43.003705
29.161698,40,43.101142
28.853625,40,44.030883
31.980294,40,44.13482
30.455076,40,44.235693
23.614767,40,44.33649
26.709177,40,44.433181
30.572208,40,45.345452
30.985229,40,45.445131
31.128037,40,45.538947
26.612034,40,45.637343
27.368533,40,45.733089
31.661729,40,46.641109
26.584258,40,46.735902
24.948117,40,46.832502
29.176274,40,46.932024
31.173025,40,47.034051
29.847633,40,47.97515
32.567483,40,48.071661
33.686599,40,48.170172
31.609614,40,48.268167
25.949688,40,48.364532
28.062228,40,49.306362
30.348838,40,49.401007
30.066301,40,49.498312
27.62874,40,49.60384
31.031374,40,49.704314
27.719966,40,50.634922
28.458541,40,50.728904
31.628713,40,50.826421
28.452231,40,50.919492
22.315154,40,51.011913
28.012608,40,51.953527
26.33532,40,52.050086
32.38344,40,52.144331
25.954977,40,52.233877
26.622928,40,52.323195
27.435166,40,53.270846
29.903114,40,53.368322
31.195038,40,53.457373
29.777233,40,53.547303
28.013205,40,53.643018
17.088883,40,54.534834
31.588956,40,54.634329
15.322829,40,54.73006
