#{"t_start": 1716882182.035399, "env_id": "Sprites-v0"}
r,l,t
32.633386,40,1.441821
30.274286,40,8.991861
26.568399,40,10.062738
27.054618,40,11.128528
29.331805,40,12.198382
21.570338,40,13.27674
30.803903,40,14.329355
27.964012,40,15.39641
31.611235,40,16.451634
29.386398,40,17.526759
24.388826,40,18.621166
29.438512,40,19.716752
23.925706,40,20.792769
30.334212,40,21.878422
24.767785,40,22.88799
33.405255,40,23.956549
27.387583,40,25.071275
26.85068,40,26.150944
29.760861,40,27.181963
29.022267,40,28.350988
26.137486,40,29.459051
31.040878,40,30.545666
26.53779,40,31.633163
26.825796,40,32.716802
25.514264,40,33.792084
26.609291,40,34.889137
30.723246,40,35.968164
21.278881,40,37.067761
23.910608,40,38.18747
25.138293,40,39.272292
29.061748,40,40.354861
26.871186,40,41.385813
22.922889,40,42.414038
29.692921,40,43.479743
26.437836,40,44.549256
26.859555,40,45.626432
23.87073,40,46.688567
29.131203,40,47.760565
31.446221,40,48.82821
26.929421,40,49.901404
30.45442,40,50.970245
24.151086,40,52.034553
18.456614,40,53.049935
27.35344,40,54.114197
25.859434,40,55.11944
27.930829,40,56.181279
24.394504,40,57.244626
29.917541,40,58.282502
25.879223,40,59.34588
28.013308,40,60.432674
23.284042,40,61.590578
29.299269,40,62.740467
32.120919,40,63.858235
31.133478,40,65.065881
23.458537,40,66.155271
24.429874,40,67.227458
28.261114,40,68.302059
28.167178,40,69.406873
23.32007,40,70.483626
26.985808,40,71.583104
25.059925,40,72.663431
27.595274,40,73.756116
27.5623,40,74.816414
28.377178,40,75.881914
24.393798,40,76.949583
26.589574,40,78.028879
32.954275,40,79.114325
24.827431,40,80.273001
30.970112,40,81.402771
26.115332,40,82.53734
30.552944,40,83.675637
30.497445,40,84.793006
23.175071,40,85.859264
23.401687,40,86.983576
21.652236,40,88.243399
29.694076,40,89.370998
25.128732,40,90.496779
29.314129,40,91.57619
28.37997,40,92.645149
26.780647,40,93.733272
26.98596,40,94.802833
28.524701,40,95.868814
22.388741,40,96.942897
28.559791,40,98.014304
29.165957,40,99.087456
27.363653,40,100.169363
21.026715,40,101.204845
23.859115,40,102.286159
29.548484,40,103.47451
28.333091,40,104.660078
26.290737,40,105.751326
24.900271,40,106.833837
31.303037,40,107.89839
23.203984,40,108.992773
26.246858,40,110.075385
31.797559,40,111.188222
24.799884,40,112.312366
28.041222,40,113.460124
27.494574,40,114.640465
26.743181,40,115.735782
31.024834,40,116.929544
22.187818,40,124.307862
21.929314,40,125.451769
30.02938,40,126.551602
27.963887,40,127.655209
22.758651,40,128.792403
27.716594,40,129.901742
28.184923,40,131.069458
26.48715,40,132.183653
28.314089,40,133.375046
32.142822,40,134.439271
28.898204,40,135.566636
25.894471,40,136.738374
27.619223,40,137.871408
30.668002,40,138.987207
29.973248,40,140.13165
29.703111,40,141.28117
24.737872,40,142.459908
30.888571,40,143.621034
24.297374,40,144.715404
27.952767,40,145.832112
25.516929,40,146.932099
26.399311,40,148.034369
26.270211,40,149.110438
26.013441,40,150.205979
27.867141,40,151.28679
24.706577,40,152.388386
28.710176,40,153.490683
28.928613,40,154.569851
25.893587,40,155.665067
31.195425,40,156.779537
26.992096,40,157.853892
28.153069,40,158.962206
25.15827,40,160.103194
32.887596,40,161.148135
25.685652,40,162.214122
29.760207,40,163.287537
32.727878,40,164.359764
29.785001,40,165.439326
24.535275,40,166.554272
30.475174,40,167.628441
26.605004,40,168.699755
21.973592,40,169.765682
25.169452,40,170.84679
27.977778,40,171.917589
28.376867,40,172.995386
27.841949,40,174.122782
31.052642,40,175.335131
30.151512,40,176.495207
25.011126,40,177.619764
31.248149,40,178.906748
24.214953,40,180.067942
24.739709,40,181.2043
28.770523,40,182.285625
25.704376,40,183.421443
28.070267,40,184.538201
30.500358,40,185.637812
33.440957,40,186.71044
30.722402,40,187.836737
32.686949,40,188.991377
30.81374,40,190.098582
24.269309,40,191.267691
29.899177,40,192.419646
24.709536,40,193.510025
28.830566,40,194.609501
30.317904,40,195.732511
26.774548,40,196.846863
25.757558,40,197.952669
27.085764,40,199.136656
26.990677,40,200.312901
24.873833,40,201.393715
30.152951,40,202.410111
26.233202,40,203.488696
27.128359,40,204.554515
22.94646,40,205.647506
27.317814,40,206.736301
27.896449,40,207.858012
25.026461,40,208.975514
27.612452,40,210.076842
27.198565,40,211.240043
22.575885,40,212.368245
25.43554,40,213.53896
32.443074,40,214.745513
32.881697,40,215.858594
30.362177,40,216.973423
28.516425,40,218.107814
29.823733,40,219.166248
28.336973,40,220.287047
20.495603,40,221.362208
26.193209,40,222.442032
28.220602,40,223.545187
26.208311,40,224.652276
31.626633,40,225.727921
28.216801,40,226.77521
30.230245,40,227.819141
31.497708,40,228.888224
28.403467,40,229.964472
23.81738,40,231.035805
21.912877,40,232.100728
22.875822,40,233.169929
27.133874,40,234.233633
23.925479,40,241.719958
26.412807,40,242.7946
26.470864,40,243.858474
29.029174,40,244.901011
33.845148,40,245.976277
29.114252,40,247.031121
32.965167,40,248.095397
29.405208,40,249.164167
29.602519,40,250.28684
27.621938,40,251.411075
24.055849,40,252.541441
29.658471,40,253.708528
27.728658,40,254.955218
29.36018,40,256.066626
24.579962,40,257.141923
27.520525,40,258.25315
25.580371,40,259.378496
22.305159,40,260.481702
28.980106,40,261.506605
30.910441,40,262.607844
31.734255,40,263.686859
26.518853,40,264.761851
32.409119,40,265.829321
28.097498,40,266.923636
25.320016,40,268.026814
28.491279,40,269.108546
31.111411,40,270.242544
23.348103,40,271.326651
26.303286,40,272.404675
25.850089,40,273.447757
28.614575,40,274.520929
31.61427,40,275.591189
30.885669,40,276.689782
27.987408,40,277.793476
28.454685,40,278.889689
27.987367,40,280.07978
28.024255,40,281.399934
28.866969,40,282.625386
27.43204,40,283.863324
25.121915,40,284.966174
31.932112,40,286.102135
29.194848,40,287.251754
28.946726,40,288.415249
28.659841,40,289.551232
29.279758,40,290.654642
26.858448,40,291.723456
29.827659,40,292.795082
23.93273,40,293.918277
27.697053,40,294.98105
23.57948,40,296.045703
25.271273,40,297.106842
34.262394,40,298.11951
31.402046,40,299.214048
29.240158,40,300.333405
26.615004,40,301.377874
30.549794,40,302.491773
28.520838,40,303.642549
28.416882,40,304.828546
28.666163,40,305.939284
24.973754,40,307.039022
25.180369,40,308.108073
31.268215,40,309.221628
