#{"t_start": 1716865834.365549, "env_id": "Sprites-v2"}
r,l,t
33.907526,40,2.345346
29.178543,40,3.029851
26.790597,40,3.317718
26.581127,40,3.626426
29.887538,40,3.910105
21.085678,40,25.642864
23.601205,40,25.910096
28.465817,40,26.182712
30.902853,40,26.461803
30.12171,40,26.715383
22.651692,40,34.88585
31.117501,40,35.208408
30.700919,40,35.482009
27.400396,40,35.790671
27.463116,40,36.059981
27.098756,40,44.309755
29.496063,40,44.576709
30.592437,40,44.83332
27.457701,40,45.129708
28.526832,40,45.388338
30.669406,40,53.385528
34.404122,40,53.624337
31.373568,40,53.862889
30.129527,40,54.096821
27.877034,40,54.331912
30.934612,40,62.217894
28.050668,40,62.50137
29.368762,40,62.755843
30.126866,40,63.038187
23.726082,40,63.297242
30.866901,40,71.189475
32.215072,40,71.579075
34.820476,40,71.916361
25.260467,40,72.306085
27.201364,40,72.59604
26.96085,40,80.86464
26.761434,40,81.16024
26.056407,40,81.401345
25.754178,40,81.646334
23.686396,40,81.924163
29.700575,40,90.255115
24.782735,40,90.525576
23.459005,40,90.770542
25.967205,40,91.026054
30.589338,40,91.329937
25.950548,40,99.797799
29.241773,40,100.086808
26.293747,40,100.353736
27.500541,40,100.621805
25.53542,40,100.896467
26.943398,40,108.598912
30.868524,40,108.863296
30.016207,40,109.123857
25.785455,40,109.377136
32.1504,40,109.636911
27.62618,40,117.635738
32.139577,40,117.904608
31.957403,40,118.156546
24.229238,40,118.424541
30.94142,40,118.672163
28.198067,40,126.60415
24.078036,40,126.870719
29.994609,40,127.120416
23.544179,40,127.377034
32.160576,40,127.640427
24.995487,40,136.022343
26.774801,40,136.275751
24.209187,40,136.521956
29.684378,40,136.758966
27.378755,40,137.016575
30.232805,40,144.692277
25.851342,40,144.944192
27.539505,40,145.184225
24.640326,40,145.437388
25.125544,40,145.700223
30.431907,40,153.719076
26.53035,40,153.988294
28.960678,40,154.24654
29.183253,40,154.518899
34.947204,40,154.766876
25.105807,40,162.634285
33.254564,40,162.89848
29.120164,40,163.171091
32.617182,40,163.423271
31.009767,40,163.673176
26.077163,40,172.03631
29.853727,40,172.305173
25.792333,40,172.576282
19.47557,40,172.867223
30.632386,40,173.138505
32.097168,40,181.033158
30.862446,40,181.300067
28.966999,40,181.568063
30.922317,40,181.827576
30.154441,40,182.073671
26.298524,40,189.703618
31.112448,40,189.962956
30.480476,40,190.215274
25.255474,40,190.477419
28.744673,40,190.756013
28.716566,40,198.915133
30.597189,40,199.173315
29.213871,40,199.432355
34.935856,40,199.684077
35.035587,40,199.933922
24.809649,40,212.687488
34.363191,40,212.952855
27.862384,40,213.2057
34.37921,40,213.487795
28.942236,40,213.748844
21.669253,40,221.388026
27.895175,40,221.634128
26.950547,40,221.884329
31.712729,40,222.170769
27.24291,40,222.432515
29.281394,40,230.481202
24.062099,40,230.725116
24.113726,40,230.975668
36.901907,40,231.223729
26.357233,40,231.470983
