#{"t_start": 1716882182.3281736, "env_id": "Sprites-v0"}
r,l,t
31.809957,40,1.148169
23.92508,40,8.698561
27.925985,40,9.769889
28.252839,40,10.835233
25.312747,40,11.90499
29.65737,40,12.983483
29.715628,40,14.035992
26.973537,40,15.10314
26.936139,40,16.158324
27.619024,40,17.233876
31.553952,40,18.328346
28.925862,40,19.423413
27.600674,40,20.499421
29.923067,40,21.585089
24.228595,40,22.594581
25.863009,40,23.663103
25.473959,40,24.777856
30.050128,40,25.858272
25.747291,40,26.88863
27.217202,40,28.05825
33.232356,40,29.165646
32.162219,40,30.25221
29.466702,40,31.339861
27.305828,40,32.423454
29.949326,40,33.498741
30.226691,40,34.595782
27.764225,40,35.674654
29.153864,40,36.774501
28.563179,40,37.894094
29.273505,40,38.97954
29.759301,40,40.061452
29.802969,40,41.092483
28.386622,40,42.120712
32.046267,40,43.186628
31.029406,40,44.256416
34.031877,40,45.333132
28.275477,40,46.395264
29.204997,40,47.467609
24.319283,40,48.53483
32.317656,40,49.608049
31.995602,40,50.676906
27.316221,40,51.741428
27.652354,40,52.756659
21.781163,40,53.820878
27.568581,40,54.826025
28.719372,40,55.888498
29.764817,40,56.952693
27.21072,40,57.989707
26.499992,40,59.053072
27.553413,40,60.139235
32.968343,40,61.297705
29.887942,40,62.447001
25.131005,40,63.565343
33.240238,40,64.7725
18.292204,40,65.862109
31.067973,40,66.934607
27.149809,40,68.008597
22.128106,40,69.113937
29.207797,40,70.190286
28.511706,40,71.290082
29.582766,40,72.370054
31.459934,40,73.463341
23.811605,40,74.522897
29.825259,40,75.588638
25.960672,40,76.656292
26.895103,40,77.735548
29.95369,40,78.821376
31.790885,40,79.980148
23.753356,40,81.109383
29.082353,40,82.244465
23.746883,40,83.382904
27.381597,40,84.499545
22.720061,40,85.566441
22.716322,40,86.691164
29.411626,40,87.950529
30.145437,40,89.07766
29.792909,40,90.203328
26.294881,40,91.282891
28.022294,40,92.351847
25.761573,40,93.440912
27.582678,40,94.509461
31.890407,40,95.575449
27.838197,40,96.649542
28.936076,40,97.720905
28.130347,40,98.793612
25.542466,40,99.875996
25.742311,40,100.911576
25.890087,40,101.993377
32.028032,40,103.181395
27.167391,40,104.367281
23.710935,40,105.458417
29.387301,40,106.540532
29.959449,40,107.605156
24.364974,40,108.699385
32.497391,40,109.782489
28.440294,40,110.894791
29.964798,40,112.019494
31.667819,40,113.167353
29.746309,40,114.347547
26.711017,40,115.442924
26.03242,40,116.636115
27.297813,40,124.015074
29.194115,40,125.158942
28.381077,40,126.258694
31.751751,40,127.361795
29.933463,40,128.499072
25.212796,40,129.608432
28.950034,40,130.776048
26.884279,40,131.890882
27.625201,40,133.082173
28.681851,40,134.146069
29.764406,40,135.273801
26.893945,40,136.445493
25.449154,40,137.578564
24.574917,40,138.694322
25.372577,40,139.838293
24.766218,40,140.987728
24.623147,40,142.167108
30.626007,40,143.327602
27.145279,40,144.422529
30.058125,40,145.53873
27.133678,40,146.638675
19.035815,40,147.741612
28.516537,40,148.817098
29.57356,40,149.912621
25.086738,40,150.99402
28.641236,40,152.094998
30.937739,40,153.197494
27.490457,40,154.277024
29.353163,40,155.371608
25.601757,40,156.486204
22.363531,40,157.560448
32.116144,40,158.668292
31.824562,40,159.810411
33.57068,40,160.854994
32.908294,40,161.920721
