#{"t_start": 1716865834.507356, "env_id": "Sprites-v2"}
r,l,t
28.94902,40,2.203702
28.335712,40,2.888223
29.948561,40,3.176591
24.753629,40,3.485056
30.320893,40,3.768647
27.540197,40,25.500382
30.637355,40,25.768468
32.746156,40,26.041277
27.703183,40,26.320069
22.523099,40,26.57393
27.422133,40,34.742189
29.019966,40,35.066967
26.289053,40,35.340542
30.733171,40,35.648885
28.808071,40,35.91854
28.866545,40,44.168528
28.068032,40,44.43528
30.099817,40,44.691784
24.878334,40,44.987964
26.1889,40,45.246635
34.374549,40,53.244402
27.165998,40,53.482881
23.274458,40,53.721212
27.589686,40,53.955198
26.169382,40,54.190376
32.178037,40,62.076626
27.678038,40,62.35968
26.472048,40,62.614364
27.09913,40,62.896534
29.437852,40,63.155558
32.22893,40,71.049036
33.044313,40,71.437144
25.108937,40,71.775112
30.938855,40,72.164318
29.259599,40,72.454394
27.794958,40,80.722892
27.864549,40,81.018837
28.018115,40,81.259607
30.208465,40,81.503949
28.138303,40,81.782667
24.49976,40,90.113251
36.851965,40,90.383942
29.540568,40,90.628832
35.171633,40,90.884578
29.933951,40,91.187928
26.485845,40,99.659991
26.428954,40,99.945079
29.910573,40,100.212159
22.739048,40,100.480121
29.870131,40,100.754782
25.1292,40,108.45738
30.888794,40,108.721527
29.735929,40,108.982143
28.967689,40,109.235397
23.162279,40,109.494753
26.185653,40,117.494471
24.527737,40,117.763139
27.970127,40,118.014862
26.845805,40,118.282853
27.677486,40,118.530482
27.138587,40,126.462767
33.411923,40,126.729225
23.416376,40,126.978966
28.120689,40,127.235225
24.006113,40,127.499009
31.34711,40,135.881247
24.309559,40,136.134033
32.478704,40,136.380163
24.812752,40,136.617476
34.134415,40,136.874848
31.381581,40,144.5513
29.697093,40,144.802688
27.379734,40,145.042737
22.364424,40,145.295624
25.607298,40,145.558494
22.937434,40,153.578488
27.928212,40,153.846889
30.098563,40,154.105005
20.864569,40,154.376805
28.43143,40,154.62553
29.348678,40,162.492885
30.32112,40,162.757045
29.198827,40,163.02943
28.370493,40,163.28157
27.124533,40,163.531489
30.010045,40,171.894959
28.974431,40,172.163536
30.326955,40,172.434774
31.266863,40,172.725632
25.34352,40,172.996891
29.470216,40,180.891851
28.544625,40,181.158445
32.104554,40,181.426581
27.776415,40,181.686124
33.258427,40,181.931969
30.998658,40,189.562007
30.229775,40,189.821559
27.491375,40,190.073544
25.219264,40,190.335647
25.138385,40,190.614205
32.587313,40,198.773984
22.886405,40,199.031842
29.841359,40,199.290796
24.564066,40,199.542583
31.821825,40,199.792212
25.272316,40,212.54608
26.557185,40,212.811311
27.567512,40,213.064123
29.350491,40,213.346268
29.004244,40,213.607103
31.184541,40,221.246616
24.889396,40,221.49243
29.094818,40,221.742609
29.991541,40,222.028668
17.869804,40,222.291015
30.857811,40,230.339972
29.484136,40,230.583437
33.04057,40,230.834003
25.182553,40,231.081996
24.372146,40,231.328761
