#{"t_start": 1716882081.837773, "env_id": "Sprites-v0"}
r,l,t
29.72262,40,1.05012
33.790312,40,1.156707
30.066156,40,1.263522
25.805085,40,1.366914
33.65456,40,1.483777
30.622483,40,6.065995
24.680713,40,6.160022
29.495217,40,6.252301
22.491504,40,6.365741
30.814051,40,6.464601
26.450005,40,7.511763
31.773787,40,7.613133
24.939337,40,7.709858
33.218415,40,7.809072
30.586868,40,7.923068
27.651737,40,9.01029
29.822087,40,9.144803
25.283269,40,9.252139
25.306263,40,9.375314
28.073307,40,9.534955
28.670822,40,10.635392
33.139072,40,10.752426
28.299859,40,10.878246
29.701673,40,10.984304
33.518457,40,11.084546
28.742122,40,12.139295
29.979043,40,12.245394
32.806288,40,12.350125
27.947586,40,12.466906
32.106713,40,12.570244
30.897679,40,13.64675
28.158419,40,13.760746
31.300578,40,13.872083
21.463225,40,13.983341
29.469872,40,14.084092
28.805413,40,15.10671
33.402826,40,15.206933
25.387419,40,15.310156
36.364476,40,15.416222
32.835002,40,15.51934
35.121251,40,16.536949
31.039164,40,16.643382
29.854253,40,16.741918
30.022935,40,16.84257
27.604123,40,16.943506
31.589696,40,17.9676
29.080446,40,18.074273
28.02906,40,18.18598
20.593828,40,18.301606
30.160089,40,18.408513
27.554754,40,19.481208
24.888976,40,19.591996
27.798387,40,19.738628
25.799442,40,19.87174
31.74023,40,19.988985
26.729358,40,21.163999
28.495955,40,21.292654
33.372557,40,21.432912
31.982719,40,21.56425
29.87574,40,21.664341
35.449072,40,22.737463
32.526739,40,22.837316
28.668789,40,22.946708
26.969085,40,23.052127
23.284052,40,23.167442
31.055242,40,24.251585
29.377466,40,24.357568
32.087228,40,24.464494
29.299075,40,24.576468
28.607429,40,24.6952
29.088588,40,25.772152
33.204404,40,25.875454
32.57926,40,25.980156
29.316662,40,26.085734
29.327894,40,26.189392
29.493817,40,27.276709
30.059621,40,27.387076
31.264048,40,27.494957
23.140267,40,27.594798
24.536259,40,27.700085
29.037973,40,28.790491
28.581621,40,28.905976
30.290833,40,29.020386
32.293473,40,29.1298
29.732286,40,29.240511
33.557607,40,30.264573
33.482816,40,30.38085
32.494439,40,30.494849
26.683736,40,30.607064
20.592129,40,30.724843
26.119981,40,31.77422
24.583952,40,31.876702
27.425258,40,31.98146
29.284803,40,32.083942
31.093628,40,32.186968
26.803719,40,33.243255
30.010833,40,33.344141
26.118161,40,33.444443
33.957106,40,33.546456
26.624463,40,33.648442
25.624897,40,34.724531
27.114167,40,34.846591
25.511887,40,34.969574
33.943471,40,35.081099
33.322994,40,35.186541
23.200921,40,36.243087
26.760609,40,36.351042
29.382019,40,36.456068
28.955979,40,36.556472
27.915908,40,36.658645
24.158384,40,37.71237
29.421402,40,37.830401
32.976244,40,37.945838
25.62972,40,38.057856
28.213523,40,38.172348
32.487779,40,39.218016
29.18701,40,39.320558
25.967476,40,39.426345
28.451519,40,39.527655
20.991518,40,39.645621
26.654173,40,40.690264
25.213982,40,40.792292
28.915336,40,40.896385
31.010589,40,41.004229
30.27517,40,41.104125
30.368802,40,42.150277
30.267764,40,42.254304
29.464544,40,42.357903
33.817255,40,42.460013
34.405014,40,42.561212
31.594282,40,43.615184
30.203352,40,43.7225
29.623083,40,43.83842
30.996596,40,43.952416
24.310563,40,44.067288
26.679703,40,45.119497
25.220534,40,45.221976
28.925627,40,45.325055
26.320274,40,45.430942
28.889004,40,45.532759
31.979146,40,46.612941
27.625301,40,46.712769
24.331414,40,46.815552
21.25683,40,46.917917
30.546944,40,47.023051
28.429566,40,48.065726
29.097278,40,48.175772
26.565242,40,48.283159
28.624057,40,48.383978
25.556028,40,48.483288
25.685666,40,49.520666
29.59212,40,49.633177
27.062796,40,49.738778
31.989679,40,49.845413
31.565284,40,49.949625
29.853239,40,51.04406
28.286559,40,51.165725
34.763071,40,51.285083
26.742829,40,51.4011
27.086973,40,51.513035
29.751488,40,52.832849
28.779746,40,53.050569
27.461474,40,53.25054
26.959377,40,53.38779
33.589816,40,53.530348
27.031316,40,54.947562
29.421221,40,55.088728
32.759419,40,55.215076
29.290862,40,55.348046
26.437931,40,55.467061
29.245462,40,56.646615
25.548475,40,56.766901
30.175473,40,56.875394
25.530908,40,56.989092
27.245896,40,57.100416
30.787007,40,58.219476
28.052808,40,58.334479
29.616556,40,58.453481
23.044641,40,58.559221
34.877303,40,58.675284
25.842829,40,59.787098
33.550085,40,59.898391
28.306758,40,60.012526
34.110964,40,60.123357
30.846366,40,60.230558
30.117739,40,61.323681
31.480741,40,61.42967
25.623373,40,61.533934
28.014295,40,61.641922
30.636589,40,61.756115
31.575736,40,62.87002
24.942341,40,62.980414
22.996847,40,63.090672
22.945863,40,63.197085
29.737799,40,63.310781
27.952986,40,64.449444
31.774595,40,64.593029
31.415024,40,64.755573
29.589448,40,64.867611
28.600032,40,64.976942
