#{"t_start": 1716865834.533269, "env_id": "Sprites-v2"}
r,l,t
30.107537,40,2.177756
27.177674,40,2.862106
24.405551,40,3.150082
28.525349,40,3.458639
23.687299,40,3.742111
26.509515,40,25.474931
26.536669,40,25.742221
29.192599,40,26.014865
31.322501,40,26.293962
25.28019,40,26.547596
29.130519,40,34.719739
33.835474,40,35.04047
26.771381,40,35.314289
25.308269,40,35.62275
27.893182,40,35.892238
23.683906,40,44.142021
30.082721,40,44.408971
30.31184,40,44.665453
30.455924,40,44.962094
27.234442,40,45.220593
30.600602,40,53.217747
32.882148,40,53.456727
28.96988,40,53.694847
34.059983,40,53.929106
33.243856,40,54.164156
24.487705,40,62.050024
24.988621,40,62.333625
27.733084,40,62.588106
26.892912,40,62.870417
29.385887,40,63.129512
30.246471,40,71.020706
26.250334,40,71.41109
32.67632,40,71.748468
27.92592,40,72.137937
24.978032,40,72.427988
