#{"t_start": 1716882182.4121573, "env_id": "Sprites-v0"}
r,l,t
29.946494,40,1.063007
24.183168,40,8.612912
27.453233,40,9.683752
27.567785,40,10.749592
28.221875,40,11.819381
29.997881,40,12.897381
29.075859,40,13.950641
31.618177,40,15.017228
27.141568,40,16.072523
28.995259,40,17.147406
30.552488,40,18.24163
28.674374,40,19.338082
32.853814,40,20.41396
26.341826,40,21.498943
21.844293,40,22.50875
26.509172,40,23.577563
26.933013,40,24.691789
25.032275,40,25.77164
31.169104,40,26.802719
23.752221,40,27.971685
29.860226,40,29.079871
29.361125,40,30.166903
28.564033,40,31.254448
28.970906,40,32.338089
32.619875,40,33.412301
23.244486,40,34.509649
29.503739,40,35.588073
26.183045,40,36.688612
27.781007,40,37.808822
34.219806,40,38.892927
28.929503,40,39.976087
30.350629,40,41.006477
23.83438,40,42.035365
26.537689,40,43.100772
33.828774,40,44.170569
28.488988,40,45.247598
22.948123,40,46.309641
33.094067,40,47.381739
24.165906,40,48.449472
31.151059,40,49.521946
23.174535,40,50.591171
25.6883,40,51.655571
26.671157,40,52.670987
35.65105,40,53.735188
30.014511,40,54.740274
24.971324,40,55.802526
24.384676,40,56.865917
28.133464,40,57.904522
32.364593,40,58.967202
31.510905,40,60.053264
28.214307,40,61.211268
31.728567,40,62.360516
29.331083,40,63.478764
22.404847,40,64.686273
19.257634,40,65.776342
31.093756,40,66.848797
29.480567,40,67.922208
31.498099,40,69.028078
25.190683,40,70.104205
23.941216,40,71.204191
29.620679,40,72.284253
34.699376,40,73.377265
27.937189,40,74.437145
26.140304,40,75.50249
32.132715,40,76.570465
29.856195,40,77.64945
17.594508,40,78.734988
27.590668,40,79.894235
27.11668,40,81.023272
28.28739,40,82.157806
27.687316,40,83.296841
27.246384,40,84.413921
27.277724,40,85.480803
26.936674,40,86.604601
25.601919,40,87.8641
29.582253,40,88.991711
28.208865,40,90.116986
28.439564,40,91.197357
28.060897,40,92.26628
33.658712,40,93.354819
21.164255,40,94.424137
33.022976,40,95.489323
29.173826,40,96.563758
23.18981,40,97.635022
27.874969,40,98.708259
23.970365,40,99.790121
20.770627,40,100.825913
31.734329,40,101.9068
24.356928,40,103.095776
24.941658,40,104.280868
26.187654,40,105.37255
26.847936,40,106.454735
19.082414,40,107.519288
29.438741,40,108.614068
31.620922,40,109.696712
27.39393,40,110.809025
28.357412,40,111.933048
22.963968,40,113.081188
30.323342,40,114.261089
24.998,40,115.357088
29.539388,40,116.550182
23.170812,40,123.928825
31.337793,40,125.072747
29.716339,40,126.172826
26.501637,40,127.27521
22.800664,40,128.413219
28.018562,40,129.523004
20.915238,40,130.689638
27.885967,40,131.804201
28.922388,40,132.995484
20.895295,40,134.059948
28.963067,40,135.186791
30.516482,40,136.359186
28.572958,40,137.492534
34.003145,40,138.608292
29.215726,40,139.752278
28.518509,40,140.901424
24.005258,40,142.080758
25.20866,40,143.241999
32.735786,40,144.336889
27.878988,40,145.452996
27.959348,40,146.552983
24.288224,40,147.655468
25.008159,40,148.731746
27.756325,40,149.82629
27.140771,40,150.907576
32.087861,40,152.00909
28.767176,40,153.111269
27.986162,40,154.190905
27.929449,40,155.285751
29.510974,40,156.4009
22.201641,40,157.475113
27.685451,40,158.582929
25.159473,40,159.723738
30.877669,40,160.76936
23.993077,40,161.835364
30.290595,40,162.908772
29.307038,40,163.980371
26.901321,40,165.060167
27.922471,40,166.175148
20.422267,40,167.249519
29.708834,40,168.320447
24.42382,40,169.386968
27.25824,40,170.467026
31.530859,40,171.539059
29.431604,40,172.616023
26.001491,40,173.743625
24.947646,40,174.955642
28.994034,40,176.115816
26.683033,40,177.240853
31.288944,40,178.527539
27.291449,40,179.688746
24.53326,40,180.825361
28.710939,40,181.906659
25.241992,40,183.042656
26.523236,40,184.15936
28.447978,40,185.258666
23.304527,40,186.331121
32.100671,40,187.457462
28.433373,40,188.611809
26.082051,40,189.719079
26.634322,40,190.888221
25.153232,40,192.04091
27.236878,40,193.131098
34.162646,40,194.230455
29.137778,40,195.353529
25.339298,40,196.467889
27.37252,40,197.573287
30.431207,40,198.757678
30.49706,40,199.933926
30.708577,40,201.014301
28.141056,40,202.031388
28.449711,40,203.109353
26.62,40,204.175109
31.962094,40,205.268523
26.530943,40,206.356997
28.275313,40,207.478208
26.053884,40,208.596428
30.027723,40,209.697723
34.614343,40,210.860685
29.516422,40,211.988853
29.560338,40,213.15919
31.124561,40,214.366256
24.642987,40,215.479388
29.714276,40,216.594029
27.357154,40,217.72822
28.449259,40,218.787287
29.719179,40,219.907709
27.962005,40,220.982791
25.417673,40,222.062105
32.522914,40,223.166146
32.059938,40,224.272573
28.877846,40,225.348767
25.190643,40,226.396505
25.505313,40,227.439631
30.423268,40,228.509063
28.674242,40,229.585764
32.372706,40,230.656851
27.460222,40,231.722001
24.237701,40,232.791033
24.040221,40,233.854649
27.616005,40,241.341252
26.352157,40,242.415517
32.221192,40,243.479706
32.354365,40,244.522549
28.960352,40,245.597309
28.189179,40,246.652477
28.61169,40,247.716603
22.691538,40,248.78473
28.654497,40,249.907674
29.012155,40,251.031672
32.005045,40,252.162307
20.374848,40,253.329867
25.625828,40,254.575663
25.067051,40,255.687178
29.252233,40,256.762179
32.844017,40,257.873966
29.326538,40,258.999218
