#{"t_start": 1716865834.522975, "env_id": "Sprites-v2"}
r,l,t
31.116855,40,2.187815
34.43243,40,2.872382
27.463815,40,3.160239
28.386341,40,3.468862
29.075667,40,3.752647
34.042559,40,25.484834
28.878843,40,25.752514
28.405159,40,26.025124
29.227182,40,26.304102
32.254077,40,26.558029
31.336569,40,34.727895
28.958041,40,35.050611
30.214318,40,35.32458
28.502253,40,35.632944
29.760329,40,35.90285
23.423236,40,44.152306
33.159535,40,44.419009
24.312002,40,44.676046
30.031602,40,44.972027
26.825202,40,45.230633
30.583063,40,53.228009
28.972316,40,53.466681
21.726033,40,53.705133
29.411464,40,53.939315
26.427172,40,54.174235
29.244149,40,62.060312
28.282703,40,62.343672
28.589907,40,62.598184
23.567211,40,62.880515
31.848214,40,63.139588
24.873299,40,71.032904
21.933416,40,71.421396
26.980442,40,71.758818
27.091934,40,72.148144
37.004823,40,72.438077
29.489867,40,80.706943
24.547439,40,81.002864
23.534628,40,81.243659
25.615948,40,81.488732
23.530807,40,81.766724
32.550872,40,90.097673
32.913543,40,90.36814
28.704478,40,90.61288
22.9849,40,90.868601
32.577631,40,91.171677
27.360147,40,99.633694
28.717977,40,99.929335
26.746953,40,100.195986
27.866675,40,100.464341
24.792193,40,100.738961
18.471254,40,108.44102
25.208356,40,108.705597
31.372339,40,108.966175
29.532417,40,109.219345
24.119223,40,109.47913
27.910221,40,117.477859
25.591253,40,117.747173
29.346247,40,117.998892
29.522178,40,118.266878
28.39064,40,118.514513
27.373242,40,126.446532
35.561182,40,126.713258
33.066267,40,126.962956
24.884299,40,127.219255
30.691161,40,127.483155
21.965578,40,135.864938
30.464774,40,136.118065
24.54818,40,136.364279
27.34761,40,136.601736
29.621077,40,136.858913
21.271168,40,144.534838
28.232036,40,144.786527
29.703699,40,145.026783
29.509593,40,145.279617
28.241789,40,145.542445
32.3016,40,153.56149
35.141248,40,153.830479
28.275928,40,154.088949
27.929019,40,154.361649
25.691267,40,154.609048
26.898868,40,162.476504
26.932677,40,162.740997
35.718988,40,163.0133
26.515833,40,163.265618
26.418534,40,163.515531
29.574005,40,171.877836
29.572699,40,172.147446
29.261573,40,172.419223
30.361834,40,172.709451
26.287987,40,172.98093
26.585243,40,180.875201
24.76786,40,181.142461
34.137795,40,181.410605
32.291662,40,181.670047
21.982297,40,181.916022
30.065263,40,189.545186
28.29941,40,189.805498
28.03748,40,190.057586
28.329063,40,190.319666
20.753457,40,190.598114
30.551791,40,198.759127
22.99008,40,199.015622
26.846694,40,199.274951
28.027353,40,199.526284
29.047552,40,199.776708
24.945302,40,212.529704
31.854244,40,212.795385
26.939519,40,213.047897
20.752687,40,213.330294
22.489994,40,213.591151
31.735482,40,221.2306
29.952223,40,221.476459
26.058407,40,221.726663
23.014922,40,222.011015
29.695885,40,222.274863
23.346887,40,230.323213
30.764542,40,230.567451
28.096787,40,230.818013
33.440404,40,231.065991
22.930274,40,231.313511
