#{"t_start": 1716882182.4318972, "env_id": "Sprites-v0"}
r,l,t
30.732463,40,1.045551
32.838196,40,8.595928
31.967492,40,9.667297
24.328565,40,10.732121
25.253507,40,11.802493
31.93394,40,12.880342
27.856683,40,13.933515
28.649425,40,15.000458
30.490726,40,16.05554
32.2514,40,17.130422
35.236279,40,18.224882
27.022322,40,19.320988
27.396996,40,20.396917
32.162112,40,21.481997
34.11336,40,22.492006
29.055734,40,23.560697
30.637561,40,24.674943
32.997563,40,25.755112
34.34332,40,26.786145
29.817966,40,27.955173
29.762316,40,29.062696
20.223226,40,30.149762
26.797232,40,31.237453
27.236566,40,32.321013
30.034375,40,33.395769
26.568322,40,34.492724
25.509399,40,35.572518
30.848054,40,36.671925
29.524522,40,37.791663
27.78203,40,38.876536
21.223154,40,39.959005
29.770727,40,40.989416
28.995787,40,42.018161
28.579882,40,43.084123
27.817845,40,44.153524
25.859542,40,45.230462
28.069373,40,46.292624
28.705026,40,47.364665
27.409448,40,48.432336
32.656756,40,49.504923
27.380307,40,50.574163
29.818456,40,51.638724
24.981477,40,52.653888
30.183894,40,53.718141
26.68788,40,54.723055
32.809142,40,55.785429
32.473927,40,56.847686
24.640976,40,57.886192
32.256309,40,58.950065
29.161807,40,60.03689
21.049915,40,61.194667
28.983285,40,62.344052
28.339484,40,63.462258
29.45413,40,64.669434
23.074745,40,65.759326
33.694632,40,66.832146
32.000321,40,67.905708
27.362077,40,69.01105
28.32738,40,70.08721
27.473569,40,71.187331
27.006969,40,72.267609
26.666141,40,73.360254
28.17833,40,74.420473
27.808924,40,75.485497
29.905737,40,76.553832
31.525906,40,77.632459
27.722471,40,78.71796
21.927576,40,79.877112
27.883165,40,81.00638
24.85813,40,82.141378
25.109994,40,83.279783
27.396535,40,84.396918
26.527818,40,85.463324
20.868653,40,86.588361
29.611967,40,87.847007
27.503895,40,88.975114
27.47123,40,90.100393
33.246117,40,91.18007
27.116563,40,92.249136
28.278597,40,93.337698
22.471024,40,94.406964
29.444715,40,95.472336
31.019085,40,96.547132
23.513751,40,97.618368
23.529733,40,98.690611
23.291678,40,99.772899
25.427712,40,100.808915
26.164294,40,101.889846
26.628921,40,103.078656
33.743623,40,104.26418
26.352895,40,105.355954
26.848285,40,106.437694
30.334923,40,107.502113
29.712816,40,108.596893
24.263271,40,109.680114
29.194308,40,110.792325
34.128323,40,111.916027
29.343445,40,113.064365
29.433377,40,114.244552
23.182107,40,115.339454
29.672837,40,116.533158
24.466412,40,123.911989
27.991285,40,125.055908
27.11207,40,126.155867
26.020242,40,127.258816
29.111879,40,128.39665
24.764301,40,129.505856
29.328368,40,130.673168
23.161132,40,131.787645
28.811364,40,132.978637
23.143446,40,134.043008
27.584203,40,135.170313
25.050422,40,136.342562
23.505561,40,137.475623
24.7084,40,138.591362
24.221973,40,139.735264
29.632516,40,140.884779
29.538572,40,142.064099
28.49719,40,143.224839
27.647257,40,144.319578
32.262331,40,145.43622
26.223963,40,146.535926
26.030171,40,147.638639
29.450165,40,148.714656
24.726338,40,149.809627
29.768548,40,150.890956
36.008665,40,151.99245
27.793792,40,153.094301
26.261682,40,154.173924
24.004927,40,155.269121
27.94344,40,156.383728
30.36043,40,157.458034
25.389595,40,158.566415
29.527937,40,159.707357
27.245683,40,160.752607
31.338002,40,161.818268
32.922982,40,162.89165
32.132267,40,163.963149
26.246316,40,165.043426
32.766346,40,166.158393
27.248477,40,167.232476
23.931613,40,168.303364
28.171852,40,169.369882
29.540505,40,170.450508
28.354085,40,171.522019
29.966933,40,172.599078
24.869154,40,173.726393
31.558734,40,174.938767
34.098158,40,176.098841
29.076296,40,177.223949
29.012425,40,178.510789
29.018703,40,179.671805
24.776288,40,180.808385
29.045165,40,181.889669
27.0626,40,183.025658
18.227202,40,184.142302
27.500016,40,185.241914
25.156394,40,186.314145
29.395272,40,187.440314
30.491106,40,188.595317
28.989945,40,189.702658
28.645609,40,190.871416
31.675527,40,192.02383
29.081102,40,193.114146
27.394347,40,194.213631
25.144606,40,195.336423
30.1436,40,196.450907
27.770826,40,197.556758
27.212071,40,198.740772
28.013573,40,199.916584
26.016336,40,200.997343
33.979858,40,202.014322
14.910431,40,203.092853
20.528011,40,204.158151
32.735297,40,205.251592
30.149022,40,206.339999
27.405251,40,207.461636
32.063791,40,208.579387
28.029099,40,209.68094
30.862267,40,210.844212
24.773034,40,211.971938
23.990884,40,213.143124
24.128756,40,214.349685
29.488466,40,215.462517
30.881288,40,216.577067
31.006723,40,217.71151
28.757719,40,218.770156
28.296158,40,219.890996
34.001837,40,220.965739
30.078595,40,222.045586
30.979641,40,223.148741
25.927914,40,224.255971
29.619891,40,225.331981
24.966972,40,226.379385
31.395509,40,227.422429
25.677302,40,228.492422
29.590742,40,229.568668
27.75419,40,230.639928
27.570514,40,231.704803
32.377047,40,232.77358
24.558897,40,233.83794
32.789888,40,241.324106
32.402005,40,242.398754
25.264362,40,243.462723
25.184601,40,244.505926
20.66541,40,245.580325
32.874789,40,246.635688
30.677505,40,247.699543
25.756116,40,248.767827
26.074752,40,249.890914
31.909177,40,251.015111
27.975682,40,252.145317
28.171764,40,253.312749
24.256807,40,254.558788
25.998895,40,255.670716
31.947783,40,256.745062
23.304214,40,257.857125
31.012535,40,258.982697
34.497793,40,260.085945
31.582262,40,261.110827
29.020222,40,262.211924
27.915512,40,263.290445
27.755897,40,264.365914
22.840565,40,265.433129
32.819458,40,266.527777
25.657629,40,267.630932
32.163967,40,268.712171
29.318744,40,269.846577
21.340751,40,270.931351
33.073161,40,272.008823
27.421331,40,273.051311
27.59956,40,274.125554
33.785216,40,275.19538
27.219835,40,276.293721
28.935071,40,277.397542
30.293471,40,278.493866
23.361338,40,279.683851
27.444885,40,281.004111
30.794247,40,282.228966
27.716912,40,283.467659
28.398773,40,284.56936
29.674739,40,285.70631
30.331627,40,286.855768
19.491507,40,288.018853
27.16958,40,289.155383
29.373123,40,290.25921
28.827843,40,291.327659
33.046835,40,292.39917
29.227074,40,293.522361
27.225995,40,294.585187
24.3863,40,295.64995
28.354638,40,296.710859
28.355218,40,297.723406
28.428776,40,298.818141
24.840098,40,299.93756
24.789842,40,300.981973
27.407352,40,302.095696
17.996825,40,303.246772
24.725533,40,304.432429
32.984751,40,305.542915
26.608983,40,306.643052
25.874054,40,307.711968
27.033455,40,308.825767
25.697531,40,309.972392
25.940046,40,311.038829
29.502213,40,312.15462
34.061472,40,313.256684
19.422105,40,314.339693
29.746527,40,315.4046
28.706052,40,316.483948
27.554414,40,317.601984
22.983093,40,318.73121
29.901913,40,319.870358
28.815934,40,320.999854
29.062712,40,322.149628
31.560999,40,323.205154
27.855883,40,324.32596
25.922102,40,325.407116
30.417352,40,326.569443
23.512174,40,327.743337
29.495286,40,328.988757
29.591883,40,330.154585
28.846852,40,331.28258
26.731826,40,332.451782
34.912015,40,333.59172
26.815928,40,334.694997
26.149565,40,335.784214
33.36252,40,336.866964
29.173586,40,337.959812
30.974613,40,339.054388
27.738513,40,340.181065
27.108026,40,341.311838
32.329429,40,342.373187
27.54469,40,343.480504
32.737275,40,344.578329
27.685187,40,345.692136
27.585798,40,346.830729
31.718102,40,347.947845
26.854175,40,349.051061
26.603372,40,350.16529
25.309585,40,351.292796
27.102275,40,358.838151
24.003095,40,359.943041
29.369635,40,360.983213
27.077167,40,362.019969
27.375066,40,363.165942
23.064505,40,364.301008
25.690813,40,365.397176
30.286411,40,366.513176
25.387561,40,367.656175
30.347176,40,368.776772
28.587903,40,369.83926
23.79329,40,370.949975
29.310204,40,372.126106
33.215787,40,373.231954
28.948825,40,374.310864
26.76517,40,375.408839
30.196085,40,376.483726
24.336057,40,377.600776
26.357621,40,378.724474
28.86456,40,379.860873
30.863679,40,381.000006
29.769029,40,382.09113
21.47851,40,383.201809
25.394573,40,384.272301
28.913419,40,385.34925
31.717102,40,386.426821
27.892331,40,387.540036
29.688274,40,388.635212
31.640259,40,389.824589
30.588187,40,390.957363
26.878022,40,392.081598
29.751541,40,393.252991
31.359955,40,394.301983
25.219291,40,395.468687
30.230079,40,396.615322
18.650517,40,397.753526
30.355297,40,398.852355
23.501945,40,399.946949
28.867505,40,400.985949
29.694367,40,402.053081
28.543493,40,403.109886
24.081049,40,404.161205
32.182096,40,405.237454
23.968398,40,406.315634
30.166099,40,407.397326
33.644863,40,408.492074
26.577925,40,409.615979
29.813103,40,410.762639
29.355008,40,411.891667
26.397404,40,413.026127
25.535838,40,414.166443
29.97445,40,415.276174
27.825984,40,416.368184
30.146297,40,417.471982
30.241695,40,418.565493
32.068892,40,419.662092
25.035609,40,420.734131
28.725519,40,421.839992
19.713674,40,422.957095
28.196932,40,424.079376
27.704563,40,425.172477
29.0839,40,426.348205
28.085599,40,427.448326
23.008136,40,428.567375
25.865376,40,429.687061
27.60049,40,430.802443
31.116352,40,431.897815
26.827017,40,432.989672
30.641816,40,434.100935
27.51807,40,435.181436
24.316238,40,436.223535
27.746779,40,437.26991
22.658162,40,438.42767
26.299951,40,439.54438
26.227506,40,440.66753
30.794835,40,441.766897
29.01638,40,442.896712
28.03661,40,444.007516
24.95733,40,445.055164
31.946501,40,446.115296
26.855464,40,447.184275
29.661531,40,448.285169
27.070021,40,449.364642
20.567544,40,450.455763
24.529397,40,451.516834
27.166564,40,452.624281
28.742263,40,453.79611
25.26725,40,454.897285
32.419352,40,456.010251
32.639046,40,457.200773
27.913182,40,458.402019
29.231481,40,459.554502
27.169482,40,460.620965
22.875722,40,461.722959
23.517233,40,462.788721
23.939291,40,463.890655
29.105505,40,465.007101
24.343556,40,466.123859
26.49569,40,467.223887
29.809231,40,468.295867
28.948337,40,475.742787
20.10329,40,476.796566
30.769205,40,477.895886
27.275303,40,479.038942
32.530306,40,480.232821
24.412438,40,481.298443
34.464019,40,482.382656
29.170281,40,483.449795
30.019766,40,484.545513
27.887785,40,485.622221
27.984082,40,486.66382
26.333209,40,487.730197
28.00332,40,488.826171
24.389892,40,489.931487
31.935225,40,491.033216
25.858827,40,492.107569
27.720101,40,493.16299
25.328456,40,494.250781
30.277125,40,495.337097
28.274381,40,496.425189
25.339651,40,497.485719
29.388119,40,498.560115
21.596228,40,499.628952
26.024385,40,500.705628
26.827663,40,501.81471
29.506268,40,502.950024
27.650463,40,503.979424
27.884652,40,504.984615
25.195541,40,505.995825
24.403886,40,507.086686
23.828787,40,508.265427
26.734774,40,509.401649
24.067287,40,510.512004
28.495227,40,511.621265
30.399499,40,512.725154
26.483118,40,513.867868
22.944079,40,514.996919
28.903299,40,516.100166
29.088178,40,517.195439
25.285838,40,518.297373
21.321038,40,519.40442
27.232799,40,520.529083
27.692001,40,521.631376
31.749096,40,522.704949
24.181482,40,523.779181
29.774213,40,524.866719
26.030609,40,526.049943
25.08255,40,527.232999
26.716081,40,528.404679
27.833098,40,529.578866
30.777434,40,530.727128
30.565013,40,531.845805
28.477898,40,532.982264
35.012225,40,534.127811
28.528944,40,535.237441
27.747615,40,536.347343
30.934335,40,537.44907
25.655846,40,538.690323
25.885228,40,539.819729
30.497892,40,540.911708
29.71537,40,542.040136
24.662816,40,543.144213
33.600673,40,544.271902
29.262094,40,545.329763
30.227461,40,546.523632
26.094752,40,547.797101
26.6282,40,549.041776
26.061227,40,550.283011
23.312914,40,551.440102
24.730878,40,552.528494
28.841875,40,553.633465
30.973985,40,554.823927
27.881735,40,555.951481
23.556394,40,557.055248
29.672595,40,558.231432
33.439889,40,559.383848
22.288223,40,560.488819
25.727872,40,561.576029
32.334582,40,562.63804
31.254657,40,563.707998
29.729251,40,564.791157
28.412519,40,565.868027
23.707207,40,566.936378
28.788956,40,568.005131
27.763827,40,569.065943
29.595379,40,570.157835
29.365523,40,571.231372
29.938228,40,572.296742
31.019308,40,573.36722
25.976087,40,574.435775
28.390083,40,575.508631
25.474398,40,576.592334
26.930006,40,577.646912
26.581341,40,578.718864
30.542668,40,579.837265
30.184809,40,580.91247
24.113525,40,581.984324
31.845298,40,583.067002
28.179365,40,584.156919
30.470833,40,585.255276
32.224849,40,592.56143
25.005649,40,593.707575
19.164756,40,594.820661
27.34199,40,595.899487
22.328632,40,597.045384
27.779122,40,598.170652
30.756925,40,599.325419
28.642711,40,600.478198
28.260223,40,601.572384
27.230559,40,602.691152
28.836474,40,603.78044
27.639804,40,604.926951
34.447006,40,606.192896
28.352418,40,607.400793
32.771828,40,608.577282
26.667136,40,609.825268
29.599134,40,611.046937
27.00347,40,612.20625
27.221103,40,613.448113
21.919729,40,614.620775
29.568542,40,615.67047
26.903923,40,616.798362
27.87417,40,617.917825
27.484139,40,619.07946
30.298505,40,620.398777
23.094161,40,621.568141
29.287648,40,622.747844
28.377553,40,623.882821
29.995843,40,625.014894
23.797917,40,626.136262
31.927221,40,627.245845
20.20825,40,628.37751
23.383396,40,629.578116
33.290323,40,630.717627
24.778038,40,631.977862
30.0761,40,633.146425
29.069507,40,634.269362
22.898367,40,635.363489
33.73479,40,636.501066
27.736913,40,637.688326
31.751408,40,638.886628
29.087022,40,640.035828
21.002468,40,641.171533
28.608311,40,642.306099
25.847568,40,643.547119
30.25649,40,644.718298
25.016728,40,645.924885
25.938557,40,647.030213
21.814475,40,648.171217
24.45256,40,649.220439
28.803107,40,650.376426
26.537352,40,651.49761
32.488638,40,652.612285
29.070652,40,653.71838
26.970342,40,654.829656
26.125993,40,656.011828
29.517063,40,657.193907
24.045981,40,658.298191
29.500476,40,659.454336
27.296899,40,660.618069
26.281426,40,661.77919
31.094612,40,662.808537
28.121671,40,663.884117
27.758937,40,664.993721
29.722285,40,666.077274
21.615752,40,667.166751
27.083806,40,668.253823
26.649706,40,669.444948
21.000509,40,670.608067
22.826357,40,671.73197
23.805289,40,672.846941
24.905705,40,673.953772
25.042729,40,675.028807
26.034233,40,676.189714
26.481397,40,677.337087
24.938272,40,678.431838
27.62272,40,679.52841
31.315217,40,680.626147
31.506724,40,681.714844
25.910521,40,682.807506
33.324319,40,683.903358
28.947477,40,685.041517
18.468645,40,686.186979
