Update,Num Timesteps,FPS,Mean Reward,Median Reward,Min Reward,Max Reward,Dist Entropy,Value Loss,Action Loss
0,3200,274,28.7596703,29.2187185,23.687299,31.712429,2.8401615396142006,33.50792537629604,-0.045614682034056386
1,6400,192,27.5363113,27.9485195,22.523099,32.254077,2.837877035140991,29.949922524392605,-0.05736144540287569
2,9600,225,27.707378499999997,27.678148999999998,20.595368,31.553178,2.837877035140991,30.258492901921272,-0.0595353612330598
3,12800,247,28.031373000000002,27.62995,24.71933,30.945539,2.837877035140991,29.85453439503908,-0.06928382181649795
4,16000,264,28.201162100000005,27.564683,24.86276,33.243856,2.837877035140991,31.96542289108038,-0.07357961384116152
5,19200,276,28.177980900000005,29.4118695,20.961332,31.966322,2.837877035140991,30.328905940055847,-0.0790087321113333
6,22400,282,28.734880200000003,28.230481500000003,21.208577,37.004823,2.837877035140991,31.983863800764084,-0.08084487540145346
7,25600,289,26.244316200000004,26.263879000000003,23.530807,31.299465,2.837877035140991,29.43817974627018,-0.08676207967678806
8,28800,293,26.645649199999998,26.889933,16.109214,32.577631,2.837877035140991,30.13636913895607,-0.0839359796300414
9,32000,299,28.5293558,28.792359,24.792193,30.70224,2.837877035140991,29.702461630105972,-0.08958484977029002
10,35200,303,27.284862600000004,27.7186735,20.414239,32.389367,2.837877035140991,30.889479398727417,-0.09114526375287824
11,38400,307,28.7839775,29.222953,21.873928,32.256345,2.837877035140991,31.670907735824585,-0.09099528590775208
12,41600,309,28.108590300000003,29.099664,21.810769,32.160576,2.837877035140991,30.594971276819706,-0.09170757741480884
13,44800,313,28.914941499999998,28.598201,25.290034,34.134415,2.837877035140991,29.21486407518387,-0.0927731598644641
14,48000,315,28.185265199999996,28.1163235,24.301643,31.965218,2.837877035140991,31.12718752026558,-0.09306553881850732
15,51200,318,28.581139199999996,28.6556995,22.388712,34.947204,2.837877035140991,30.63266510516405,-0.09364729880132927
16,54400,319,28.0000043,27.264936499999997,24.12378,32.291687,2.837877035140991,31.64900093525648,-0.09814488477013583
17,57600,321,27.9139901,27.295638500000003,24.697149,31.029876,2.837877035140991,31.293972589075565,-0.09695504238788999
18,60800,323,28.7435288,29.59247,21.982297,33.258427,2.837877035140991,30.570415399968624,-0.09653379968494846
19,64000,324,24.872754699999998,24.960129000000002,18.326714,32.516062,2.837877035140991,29.524976290762424,-0.09793846342665802
20,67200,325,29.7954113,31.1842425,22.551062,35.035587,2.837877035140991,30.91912567615509,-0.0970739730553305
21,70400,320,27.8613442,28.233416,22.489994,30.886699,2.837877035140991,29.216387793421745,-0.09918993581326419
22,73600,321,26.387005199999997,27.402456,17.869804,32.47121,2.837877035140991,29.68310757726431,-0.09626445982598852
